EMN,0.069279172 -0.380926102 1.347792029 -0.213302106 -0.94783175 0.380797327 0.564831436 0.35141331 -1.363624454 -1.581163406 1.772734523
EMR,0.738989472 -0.919415772 0.608121097 -0.018283965 -0.714457095 1.421428084 0.431392461 0.096070915 -1.830694079 -1.160228491 1.34707725
EOG,1.430055261 -0.25229758 -0.059878841 1.04087472 -1.142904878 0.094140276 -0.485555887 1.94904983 -1.078419566 -1.042516828 -0.452546388
EP,1.454813361 -0.964574456 -1.175393343 -0.003146722 0.066801399 0.050147906 0.112002887 1.424680591 -1.480612516 -0.790535927 1.305816889
EQR,0.78107661 -1.682865381 1.266359687 -0.039340299 -1.127128601 0.798605025 0.356200576 1.131404638 -0.603443503 -1.411365747 0.530496955
EQT,1.423671961 -0.027199512 -0.388466686 1.306301713 0.139927551 -0.00682948 -1.032012105 1.188243866 -1.674077392 -1.296619296 0.36705932
ERTS,0.606227398 -0.222333878 -0.902016461 0.666790664 -0.843342483 0.299910992 1.508437037 0.521480441 -1.575450182 -1.351307392 1.291603804
ESRX,0.54851377 0.087903909 0.764982045 0.15849106 -0.056041922 0.959932745 0.465096176 0.023164148 0.143748611 -2.984384537 -0.111405998
ETFC,-0.324050099 -0.403727055 -0.25983876 -0.284790993 -0.389113963 -0.29174149 -0.308078438 -0.309922904 -0.383087963 3.157210588 -0.202858895
ETN,0.135104924 0.316331059 0.287906736 -0.515202403 -0.918049276 0.90853864 0.908013463 -0.237998247 -1.601490736 -1.248167038 1.965012789
ETR,0.229719788 -0.55061084 0.272537589 0.828277409 -1.352878094 -0.079743713 1.43862772 -0.004746778 -1.533318639 -0.916895032 1.669030547
EXC,0.12877278 -0.418931425 0.433285326 0.554954171 -0.988447845 -0.689635634 0.506393552 0.185584947 -1.904526234 -0.030188903 2.22273922
EXPD,0.512478411 -1.091416478 -0.525702834 0.649169981 -0.515135825 0.439976096 -0.175052151 0.796677828 -0.960608661 -1.357290387 2.226904154
